Word,ReadingKana,Occurences,ReadingFrequency,PitchPositions,Definitions,ExampleSentence,JmDictWordId,SameSurfaceSupportedAs,SameReadingSupportedAs
町,まち,76,1439,1,"town,block,neighbourhood,neighborhood,downtown,main street,street,road",～シティと呼ばれる**町**はパルデア地方に３つある！,1603990,,pokemon-scarlet-violet:term:街[まち]
入る,はいる,60,105,0,"to enter,to come in,to go in,to get in,to arrive,to join (a club, company, etc.),to enter (a university, the army, etc.),to enroll (in),to go into (e.g. politics),to get into,to be contained (in),to be included (in),to be inside (e.g. a box),to come under (a heading),to belong (in a category),to (be able to) fit (in a container, building, etc.),to be (able to be) held,to be (able to be) accommodated,to be introduced,to be brought in,to be installed,to be received,to be obtained,to be scored (of points),to be won (of votes),to turn on,to start functioning,to start working,to enter (a month, season, etc.),to reach (e.g. a climax),to get to (e.g. the main topic),to enter into (e.g. negotiations),to start (doing),to begin,to form (of a crack, fissure, etc.),to develop,to be put in (of effort, spirit, feeling, etc.),to be applied (e.g. of strength),to be ready (of tea, coffee, etc.),to be made,to enter the body (of alcohol),to become drunk",あの子最近**入った**んだけどかなり態度悪いんだよね…。,1465590,pokemon-scarlet-violet:term:入る[いる],
好き,すき,56,147,2,"liking,being fond of,to one's liking,to one's taste,preferred,favourite,liking (romantically),being in love with,beloved,faddism,eccentricity,as one likes,as it suits one,lecherous,lustful,salacious",**好きな**ポケモンにかこまれてし・あ・わ・せ…。！,1277450,web-giapponese:term:好きな[すきな],
お疲れさま,おつかれさま,49,1703,0,"thank you (for your hard work),good work,see you,goodbye,goodnight",んじゃはやめに帰ってね**お疲れさま**でスター！,1002570,,pokemon-scarlet-violet:term:おつかれさま[おつかれさま]
何,なん,41,86,"0,1","what,how many,many,a lot of,several,a few,some",ちょっと**何**言ってるかわかんないけど助かるぜ！,2846738,pokemon-scarlet-violet:term:何[なに],
書く,かく,32,311,1,"to write,to compose,to pen,to draw,to paint",分厚い本には歴代の生徒の名前や在学時期がびっしりと**書かれている**！,1343950,,duel-masters-dm25:term:各[かく]
以外,いがい,18,436,1,"excluding,except (for),apart from,other than,besides,in addition to,outside (a boundary, scope, etc.)",シュウメイ殿にはスター団**以外**にもぼくっていう同胞がいるんだって！,1155090,,pokemon-scarlet-violet:term:意外[いがい]
変える,かえる,18,460,0,"to change,to alter,to transform,to convert,to turn,to vary,to reform,to revise,to amend",勝負の最中流れるように色彩を**変える**独創的なグラデーション！,1510650,,pokemon-scarlet-violet:term:帰る[かえる]
怒る,おこる,17,394,2,"to get angry,to get mad,to lose one's temper,to scold,to tell (someone) off",・ほめること・**怒る**こと・甘やかすことほめること怒ること甘やかすこと５みんな大好き言語学！,1445690,,duel-masters-dm25:term:起こる[おこる]
岩,いわ,15,4121,2,"rock,boulder,crag",**岩**落とすあぶねえヤツにはしょっぱい敗北めしあがれだ！,1217270,,pokemon-scarlet-violet:term:いわ[いわ]
異常,いじょう,10,1689,0,"abnormal,unusual,extraordinary,remarkable,uncommon",きのみをあげる状態**異常**にする力の差を見せるあれれー？,1157760,,pokemon-scarlet-violet:term:以上[いじょう]
的,てき,10,817,0,"-ical,-ive,-al,-ic,-y,-like,-ish,-sort of,-kind of,(something) like,along the lines of,-wise,in terms of,for,from the viewpoint of,from a ... standpoint,as far as ... is concerned,Mr.,Ms.,Mrs.",スター団で一番強いボスさトレーナーでいうトップチャンピオン**的な**？,1437260,,web-giapponese:term:敵[てき]
特に,とくに,10,598,1,"particularly,especially,in particular,expressly",**特に**用事はないホシガリスのベッド！,1454670,,pokemon-scarlet-violet:term:とくに[とくに]
