Word,ReadingKana,Occurences,ReadingFrequency,PitchPositions,Status,SupportStrength,MatchCount,MatchExamples,Definitions,ExampleSentence,JmDictWordId
円,えん,75,975,"0,1",objectively_absent,9,0,,"yen (currency of Japan),circle",２０００**円**で２００円のモンスターボールは１０個買うことができますが！,1175570
年,ねん,51,210,1,objectively_absent,9,0,,"year,counter for years (e.g. of an era), grades (e.g. school),period of an apprentice's contract (usu. ten years)",・約１０００**年**前・約２０００年前・約３０００年前４この学校は創立何年？,2084840
感じる,かんじる,44,297,0,objectively_absent,9,0,,"to feel,to sense,to experience,to be moved (by),to be touched (by),to be impressed (by),to respond (to),to become infected with (an illness),to catch",タイプ相性突いてくるね勝ちへのこだわり**感じる**よ！,1212260
父ちゃん,とうちゃん,35,9984,1,objectively_absent,9,0,,"dad,daddy,papa,pa,pop",なんかかわいそうだなボタちゃんの**父ちゃん**やーめーろー！,2519060
母ちゃん,かあちゃん,34,6170,1,objectively_absent,9,0,,"mum,mom,mummy,mommy,wifey,dear,missus",昔**母ちゃん**に会おうとしてパルデアの大穴に来たとき…。,2399270
１匹,いっぴき,33,8768,4,objectively_absent,9,0,,"one (small animal),two-tan bolt of cloth",ポケモンの性格人間と同じでポケモンにも**１匹**１匹に性格があります。,1166060
悪い,わるい,32,122,2,objectively_absent,9,0,,"bad,poor,undesirable,poor (quality),inferior,insufficient,evil,sinful,ugly,not beautiful,at fault,to blame,in the wrong,bad (at doing something),unprofitable,unbeneficial,sorry,(my) bad,unforgivable",あの子最近入ったんだけどかなり態度**悪い**んだよね…。,1151260
美術,びじゅつ,32,12834,1,objectively_absent,9,0,,"art,fine arts",**美術**担当のハッサクですよろしくお願いしますですよ……そもそも美術とは！,1486440
秘伝,ひでん,31,18947,0,defined_without_flashcard,6,1,pokemon-scarlet-violet:term:秘伝(ひでん) [no-card] via entry/front exact,"secret (recipe, medicine, etc.),mysteries (e.g. of an art)",**秘伝**スパイスのときのアイツももともとはエリアゼロにいたのかもないいなー！,1484100
殿,どの,27,5067,0,objectively_absent,9,0,,"Mr.,Mrs.,Miss,Ms.",どうしてもあんたに会って直接話がしたいそうだシュウメイ**殿**聞いて！,1442500
素晴らしい,すばらしい,26,2266,4,objectively_absent,9,0,,"wonderful,splendid,magnificent",ポケモンが嫉妬するほどの**素晴らしい**造形だ…。,1397300
本日,ほんじつ,26,1136,1,objectively_absent,9,0,,"today,this day",**本日**はどのようにしてお越しくださったんですか？,1523110
疲れる,つかれる,24,691,3,objectively_absent,9,0,,"to get tired,to tire,to get fatigued,to become exhausted,to grow weary,to become worn out (of a well-used object),to starve",さんもさんも**疲れて**おいでですよあすみません興奮しちゃってついつい…。,1483740
報告,ほうこく,24,846,0,objectively_absent,9,0,,"report,information",キミが敵だと確信したのでわたしは**報告してきまーす**！,1515670
皆さん,みなさん,23,600,2,objectively_absent,9,0,,"all,everyone,everybody",**皆さん**お疲れさまでしたどの試合もトレーナーとポケモンの絆が光る目の離せない勝負ばかり…。,1202170
気になる,きになる,23,437,,objectively_absent,9,0,,"to weigh on one's mind,to bother one,to worry about,to be concerned about,to care about,to feel uneasy,to be anxious,to be interested (in),to be curious (about),to wonder (about),to catch one's eye,to feel like (doing),to feel inclined to,to bring oneself to (do)",アジトを見張ってたんだが急に騒がしくなったんでなこっちで何かあったのかと**気になって来た**んだが…。,1221690
貴方,あなた,23,5732,"2,1",objectively_absent,9,0,,"you,dear,honey",この程度であせる**貴方**ではないでしょうに？,1223615
貴様,きさま,23,1627,0,objectively_absent,9,0,,"you,you bastard,you son of a bitch,you",最後はサービス問題だ**貴様**たちの点稼ぎポイントさぞかし楽勝だったろう？,1223620
災い,わざわい,23,8458,0,objectively_absent,9,0,,"disaster,calamity,misfortune,trouble,woes",ククッある意味宝探しだな**災い**の宝ではあるが気が向いたら調査してくれレホール先生から信頼を感じる！,1295080
小生,しょうせい,23,39809,1,objectively_absent,9,0,,"I,me,my humble self",**小生**は猛烈に感動じでいま゛ず！,1348390
噂,うわさ,22,1498,0,objectively_absent,9,0,,"rumour,rumor,report,hearsay,gossip,common talk",宇宙人の科学兵器ではないかという**噂**もあるが真相は不明。,1172590
言語学,げんごがく,22,72453,3,objectively_absent,9,0,,linguistics,・ほめること・怒ること・甘やかすことほめること怒ること甘やかすこと５みんな大好き**言語学**！,1264430
氏,し,22,3799,1,objectively_absent,9,0,,"Mr,Mrs,Ms,Miss,clan,he,him,counter for people",**氏**さぁもうちょっとボクを立ててもいいんじゃない？,2101130
食う,くう,21,556,1,objectively_absent,9,0,,"to eat,to live,to make a living,to survive,to bite,to sting (as insects do),to tease,to torment,to taunt,to make light of,to make fun of,to encroach on,to eat into,to consume,to defeat a superior,to threaten a position,to consume time,to consume resources,to receive something (usu. an unfavourable event),to have sexual relations with a woman, esp. for the first time",ちょっとわからないわ宝食堂にはあっと驚くしかけがあるらしいぞいオラこんなうめえ料理**食った**のは初めてだ！,1592100
信じる,しんじる,21,295,"3,0",objectively_absent,9,0,,"to believe,to believe in,to place trust in,to confide in,to have faith in",まったく関知できていなかった自分が恥ずかしいですフッスター団のみが至宝と**信じてきた**が…。,1359040
人間,にんげん,21,184,0,objectively_absent,9,0,,"human being,human,person,man,mankind,humankind,character (of a person)",ポケモンの性格**人間**と同じでポケモンにも１匹１匹に性格があります。,1366770
解散,かいさん,20,3393,0,objectively_absent,9,0,,"breaking up (a meeting, gathering, etc.),dispersal (e.g. of a crowd),dissolution (of a company, organization, etc.),winding-up,disbandment,split-up,dissolution (of the Diet, Parliament, etc.)",,1199000
楽しみ,たのしみ,20,909,"3,4,0",objectively_absent,9,0,,"enjoyment,pleasure,amusement,delight,joy,fun,diversion,hobby,anticipation,looking forward to,something to look forward to",わたしが一番**楽しみ**なんだよ舞台は整った！,1207250
機械,きかい,20,2673,2,objectively_absent,9,0,,"machine,mechanism,instrument,appliance,apparatus",あれはポケモンってよりもっと鉄っぽい**機械みてえ**な…。,1220810
雪山,ゆきやま,20,23784,0,objectively_absent,9,0,,"snowy mountain,permanently snow-covered mountain,pile of snow",くわしいルールは当ジムを出て左手の坂をのぼった先**雪山**すべり開始地点で説明しますねようこそナッペ山ジムへ！,1842240
優しい,やさしい,20,464,"0,3",objectively_absent,9,0,,"tender,kind,gentle,graceful,affectionate,amiable",いつもおおらかで**優しい**けどジムリーダーのときはかっこいいの！,1539040
２倍,にばい,19,12882,0,objectively_absent,9,0,,"double,twice (as much),twofold",２００だと弱点の**２倍**しかかけ算されてないみたい頭の中で計算さすがね！,1462920
教師,きょうし,19,2698,1,objectively_absent,9,0,,"teacher,instructor",バトル学**教師**として負けるわけにはいかない悪いが本気を出させてもらうよ！,1237130
広場,ひろば,19,5805,1,objectively_absent,9,0,,"public square,square,plaza,piazza,forum,open space,clearing",そういうわけでテーブルシティ中央**広場**！,1278590
掟,おきて,19,11316,0,objectively_absent,9,0,,"law,regulation,rule,code,agreement,arrangement,compact,legislation",まずスター大作戦のことあとは団の**掟**だね最近仲間増えてるじゃん？,1567460
ＡＩ,エーアイ,18,16022,3,objectively_absent,9,0,,"artificial intelligence,AI",,2222190
この前,このまえ,18,1117,3,objectively_absent,9,0,,"the other day,previously,before,earlier,recently,last time,last (Sunday, summer, etc.),previous (e.g. mayor, chapter),preceding",…………本当は戦りたいけどのポケモン**この前**より強くなってる…。！,2216900
押忍,おっす,18,35398,1,objectively_absent,9,0,,"hi!,yo!,hey man!,hey dude!,yessir!,understood!",１００点目指して**押忍**押忍だ！,1180540
楽しむ,たのしむ,18,631,3,objectively_absent,9,0,,"to enjoy,to take pleasure in,to have a good time,to have fun,to amuse oneself,to look forward to",ハッコウシティ**楽しんでる**？,1207270
競り,せり,18,53237,2,objectively_absent,9,0,,"competing,competition,auction",カラフシティに戻るのはさすがにそらとぶタクシー使っちゃおうかな**競り**で大金はたいちまった潮風が目にしみるぜ！,2599900
芸術,げいじゅつ,18,6777,"0,1",objectively_absent,9,0,,"art,the arts",『**芸術**のより道』という雑誌がある読んでみようか？,1253060
今まで,いままで,18,383,3,objectively_absent,9,0,,"until now,till now,up to now,up to the present,so far",**今まで**英雄だと思われていた存在に一石を投じる事実が判明したのです！,1587590
寝る,ねる,18,323,0,objectively_absent,9,0,,"to sleep (lying down),to go to bed,to lie in bed,to lie down,to sleep (with someone, i.e. have intercourse),to lie flat (e.g. of hair),to lie idle (of funds, stock, etc.),to ferment (of soy sauce, miso, etc.)",昨日オールでゲームしてたしアジトのヤツら絶対**寝てる**…。,1360010
顔,かお,17,119,0,objectively_absent,9,0,,"face,visage,looks,(facial) features,look,(facial) expression,countenance,honor (honour),face,dignity,influence,notoriety,trust,pull,clout,representative,(the) face (of something),trademark,example,members,attendees,lineup,participants,everyone involved,makeup,cosmetics",カラフジムのジムテストはとてもむずかしいのよハイダイさんはこの町の**顔**ね！,1217730
次回,じかい,17,4030,"1,0",objectively_absent,9,0,,next time (occasion),ぜひ仲間と息を合わせてテラスタルシールドを打ち破ってくれ**次回**は中間テストをおこなうぞ！,1316470
誰か,だれか,17,224,1,objectively_absent,9,0,,"someone,somebody",あーあまた**誰か**来ちゃったよスター団の新人ってこんなにめんどいんだ…。,1416840
伝える,つたえる,17,395,"0,3",objectively_absent,9,0,,"to convey,to report,to transmit,to communicate,to tell,to impart,to propagate,to teach,to bequeath",今までわたしがお**伝え**した情報でさんは冒険に必要な知識をすべてご存知になっています！,1441870
美しい,うつくしい,17,941,4,objectively_absent,9,0,,"beautiful,pretty,lovely,sweet,pure (heart, friendship, etc.)",,1486360
物体,ぶったい,17,5969,0,objectively_absent,9,0,,"object,body,solid",奇書バイオレットブックに書かれた謎の**物体**が名前の由来である。,1502680
夜,よる,17,376,1,objectively_absent,9,0,,"night,evening,dinner",自分の部屋より教室で勉強するほうがはかどるね**夜**だとゴーストタイプのポケモン多くない？,1536350
雑誌,ざっし,16,3109,0,objectively_absent,9,0,,"magazine,journal,periodical",『月刊オーカルチャー』という**雑誌**の１０月号がある読んでみようか？,1299400
先ほど,さきほど,16,1380,0,objectively_absent,9,0,,"a short while ago,a moment ago,just now,some time ago",いえきっと彼女は確信しているのでしょうね**先ほど**のジムまでお送りいたしますねどおもどおも！,1388170
欲しい,ほしい,16,352,2,objectively_absent,9,0,,"wanting (to have),desiring,wishing for,I want (you, them, etc.) to (do)",,1547330
会場,かいじょう,15,2843,0,objectively_absent,9,0,,"assembly hall,meeting place,venue,site,grounds",くわしいルールは**会場**にいるスタッフまでおたずねくださいねオリーブころがし会場は町の北のほうにありますよ！,1198660
高める,たかめる,15,4199,3,objectively_absent,9,0,,"to raise,to lift,to boost,to enhance",タイプの威力をもっと**高める**んだ！,1283240
作品,さくひん,15,1902,0,objectively_absent,9,0,,"work (e.g. book, film, painting, composition),piece,production,opus",個性あふれる生徒たちの**作品**がいっぱいかざられている！,1297910
子供,こども,15,498,0,objectively_absent,9,0,,"child,children",『オラチフ』と**子供**の字で書かれてる！,1307850
市場,しじょう,15,7980,1,objectively_absent,9,0,,"market (financial, stock, domestic, etc.),marketplace,exchange,(street) market",お次はマリナードタウンの**市場**で爆買いよ！,1308305
渡す,わたす,15,486,0,objectively_absent,9,0,,"to ferry across (e.g. a river),to carry across,to traverse,to lay across,to build across,to hand over,to hand in,to pass,to give,to transfer",最後大騒ぎだったからクラベル先生**渡し**そびれちゃったって！,1444610
彼女,かのじょ,15,260,1,objectively_absent,9,0,,"she,her,girlfriend",自分謙虚やなぁ**彼女**の名はチリまいど！,1483150
怖い,こわい,15,264,2,objectively_absent,9,0,,"scary,frightening,eerie,dreadful",高いところだから**怖かった**んじゃなかったっけ？,1593480
あの子,あのこ,14,590,2,objectively_absent,9,0,,"that child,that kid,that boy,that girl,that young lady,you",**あの子**最近入ったんだけどかなり態度悪いんだよね…。,2707760
奇書,きしょ,14,113291,"1,2",objectively_absent,9,0,,unusual book,**奇書**バイオレットブックに書かれた謎の物体が名前の由来である。,1777980
最深部,さいしんぶ,14,21549,,objectively_absent,9,0,,"deepest part,deepest portion,depths (of the ocean etc.),innermost",これから**最深部**ワタシの待つゼロラボを目指してもらうわけだが…。,2632170
髪型,かみがた,14,6741,0,objectively_absent,9,0,,"hair style,coiffure,hairdo",イカした**髪型**の飛び入りゲスト？,1954390
未確認,みかくにん,14,26350,2,objectively_absent,9,0,,"unconfirmed,unidentified",パルデア**未確認**ファイル１０太古の文明が生んだロボット！？,2080310
夢,ゆめ,14,334,2,objectively_absent,9,0,,"dream,dream,hope,wish,aspiration,ambition,unrealistic aspiration,daydream,pipe dream,delusion,illusion,fleeting thing,something short-lived",時ハ満ちタ**夢**ノ礎トナリタまエ僕ノ楽園ハ壊セなイ殲滅準備ヲ開始スル…。,1529410
医務室,いむしつ,13,19782,2,objectively_absent,9,0,,"doctor's office,medical office,sickbay",**医務室**で感性診てもらいなよさっきのアレってさ…。,1160090
家族,かぞく,13,537,1,objectively_absent,9,0,,family,つくづくさ変な**家族**だよなーやそんなん…。,1192150
見つかる,みつかる,13,480,0,objectively_absent,9,0,,"to be found,to be discovered",,1604550
才能,さいのう,13,1693,0,objectively_absent,9,0,,"talent,ability",ラッキー飛びこえて**才能**だよ！,1294630
似る,にる,13,495,0,objectively_absent,9,0,,"to resemble,to look like,to be like,to be alike,to be similar,to take after",メロコも**似た**ようなもんでしょ…。,1314600
答える,こたえる,13,587,"3,2",objectively_absent,9,0,,"to answer,to reply",体の部位が**答え**なのですがナッペ山にある三又の崖その名前はナッペの…。？,1449540
彼,かれ,13,304,1,objectively_absent,9,0,,"he,him,boyfriend",**彼**が表彰台から放った言葉にライバルたちもやる気がみなぎる！,1483070
落札,らくさつ,13,37602,0,objectively_absent,9,0,,"successful bid,winning a tender",そちらのお坊ちゃんが**落札しました**！,1548750
祠,ほこら,13,28468,0,objectively_absent,9,0,,"hokora,small wayside shrine",はせまい**祠**に閉じこめられているポケモンを外に出してあげたくはないか？,1581260
以内,いない,12,3444,1,objectively_absent,9,0,,"within,inside of,less than",分**以内**にオレたちのポケモン匹倒せたらボスがお会いになってくれるかもな！,1155180
花,はな,12,1050,2,objectively_absent,9,0,,"flower,blossom,bloom,petal,cherry blossom,beauty,blooming (esp. of cherry blossoms),ikebana,hanafuda,(the) best,glorious,lovely",太陽のような**花**の形をしていていつも微笑んでいる姿が特徴的。,1194500
計算,けいさん,12,2368,0,objectively_absent,9,0,,"calculation,computation,reckoning,counting,adding up,working out,figures,consideration,calculation,estimation,expectation",２００だと弱点の２倍しかかけ算されてないみたい頭の中で**計算**さすがね！,1252140
国,くに,12,868,0,objectively_absent,9,0,,"country,state,region,national government,central government,home (i.e. hometown, home country),province (of Japan),land,earth",ぶっちゃけその**国**の言葉はこんにちはおいしいありがとう３つ言えればなんとかなるし！,1592250
子供たち,こどもたち,12,2929,3,objectively_absent,9,0,,"children,kids",ハロー**子供たち**ようわ博士かビックリしたすまないここってなんで壊れてんですかー！？,1307870
視察,しさつ,12,10165,0,objectively_absent,9,0,,"inspection,observation",トップから頼まれてうちの**視察**に来たって！？,1312040
試験,しけん,12,3327,2,objectively_absent,9,0,,"examination,exam,test,trial,experiment,test",気持ち切り替えて次の**試験**や二次試験は四天王とのポケモン勝負…。,1312350
誰も,だれも,12,332,"0,1",objectively_absent,9,0,,"everyone,anyone,no one,nobody",ポケモントレーナーなら**誰も**があこがれる人なんだー！,1416860
動画,どうが,12,4051,0,objectively_absent,9,0,,"video (esp. digital),video clip,clip,animation,animated cartoon,in-betweens (animation)",いくつかの言葉を合体させたおはこんハロチャオって挨拶する**動画**配信者もいるんだって！,1451290
得る,える,12,884,1,objectively_absent,9,0,,"to get,to earn,to acquire,to procure,to gain,to secure,to attain,to obtain,to win,to understand,to comprehend,to receive something undesirable (e.g. a punishment),to get (ill),to be able to ..., can ...",そちらはニトロチャージから着想を**得た**でござる…。,1588760
不正解,ふせいかい,12,19112,,objectively_absent,9,0,,"incorrect answer,wrong solution,incorrect interpretation",なかなかどうして小賢しい授業をしっかり聞いているようだ……**不正解**！,2563650
８つ,やっつ,11,26384,"2,1",objectively_absent,9,0,,"eight,eight years of age,two o'clock (old time system)",ジムバッジを**８つ**集めたらぜひポケモンリーグの扉を叩いてください。,1583095
引退,いんたい,11,4913,0,objectively_absent,9,0,,retirement,,1169610
開ける,あける,11,435,0,objectively_absent,9,0,,"to open (a door, etc.),to unwrap (e.g. parcel, package),to unlock,to open (for business, etc.),to empty,to remove,to make space,to make room,to move out,to clear out,to be away from (e.g. one's house),to leave (temporarily),to dawn,to grow light,to end (of a period, season),to begin (of the New Year),to leave (one's schedule) open,to make time (for),to make (a hole),to open up (a hole)",……ひとの家の冷蔵庫を勝手に**開ける**のはやめておこう！,1202450
感じ,かんじ,11,356,0,objectively_absent,9,0,,"feeling,sense,impression",……言うと思ったたまに不謹慎なとこあるネモの親ってさどんな**感じ**？,1212250
筋肉,きんにく,11,3383,1,objectively_absent,9,0,,muscle,**筋肉**たくましいかくとうタイプだな！,1241810
緊張,きんちょう,11,1042,0,objectively_absent,9,0,,"tension,strain,nervousness,stress,tensions (between countries, groups, etc.),tonus,muscle tone",テスト本番よりテスト結果を聞くときのほうが**緊張する**…。,1241880
今から,いまから,11,1107,,objectively_absent,9,0,,"from now,from this moment,henceforth",そのときの気持ちになって**今から**イメージトレーニング！,2663180
諸君,しょくん,11,4866,1,objectively_absent,9,0,,"you (people),gentlemen,ladies and gentlemen,my friends,everyone",**諸君**らが服装以外でよくアレンジしているかわいいアレはいったいどうやるのかね？,1344230
信頼,しんらい,11,1696,0,objectively_absent,9,0,,"trust (in),confidence,faith,reliance",あんたたちがそこまで**信頼してる**マジボスってのは一体誰なんだ？,1359730
人生,じんせい,11,585,1,objectively_absent,9,0,,(one's) life,**人生**になくていいものですがあったほうがより楽しいもの！,1368370
体験,たいけん,11,2523,0,objectively_absent,9,0,,"(practical) experience,personal experience,hands-on experience,first-hand experience",誰でもいいんだけどさオレが負けるとかないしフェアリータイプのかわいくないとこじっくり**体験していけば**いいんだ！,1409420
入札,にゅうさつ,11,38186,0,objectively_absent,9,0,,"bid,tender,bidding",自分の持ち金と相談してより高い値段を**入札した**者が商品を買うことができるんだい！,1466180
発見,はっけん,11,1157,0,objectively_absent,9,0,,"discovery,detection,finding",だが過去にウルガモスの化石が**発見された**記録は存在していない。,1477310
補給,ほきゅう,11,7770,0,objectively_absent,9,0,,"supply,supplying,replenishment",運動して３０分以内に栄養を**補給する**と筋肉がつきやすいぞ！,1514510
優秀,ゆうしゅう,11,1729,0,objectively_absent,9,0,,"superior,excellent,brilliant,outstanding",ネモさんは生徒会長でチャンピオンで成績**優秀**！,1539230
優勝,ゆうしょう,11,4299,0,objectively_absent,9,0,,"overall victory,championship,winning the title,(being in) heaven,bliss,perfect contentment",絶対零度トリックと呼ばれるあの選手がフリッジタウン大会でも見事**優勝**！,1539280
誘う,さそう,11,835,3,objectively_absent,9,0,,"to invite,to ask (someone to do),to call (for),to take (someone) along,to tempt,to lure,to entice,to seduce,to induce (tears, laughter, sleepiness, etc.),to arouse (e.g. sympathy),to provoke",みんなで団を作ろうって**誘ってくれた**マジボスって人そのマジボスは今どこに？,1541900
竜,りゅう,11,6168,0,objectively_absent,9,0,,"dragon (esp. a Chinese dragon),naga,semi-divine human-cobra chimera in Hindu and Buddhist mythology,promoted rook",実技テスト最後の砦を守る**竜**ハッサク猛然たる勝負の息吹を身をもって教えてあげましょう！,1629170
４人,よにん,10,2764,"4,0",objectively_absent,9,0,,four people,・３人・**４人**・８人３人４人８人４相手のテラスタルシールドを破るのに有効な行動は？,1985310
